sample_no,0 1–5,0 6–10,0 11–15,0 16–20,0 21–25,0 26–30,0 31–35,0 36–40,0 41–45,0 U,1 6–10,1 11–15,2 1–5,2 6–10,2 11–15,3 1–5,3 6–10,3 11–15,3 16–20,3 21–25,3 26–30,3 31–35,3 U,4 1–5,4 6–10,4 11–15,4 16–20,4 21–25,4 26–30,4 31–35,4 36–40,4 U,5 1–5,5 6–10,5 11–15,5 16–20,5 21–25,5 26–30,5 31–35,5 36–40,5 U,6 11–15,6 16–20,6 21–25,6 26–30,6 31–35,6 U,7 21–25,7 26–30,U 1–5,U 6–10,U 11–15,U 16–20,U 21–25,U 26–30,U 31–35,U 36–40,U U
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,32,48,45,20,10,4,0,3,0,0,1,5,11,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,16,8,1,0
5,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,29,68,43,12,6,2,0,9,0,1,4,4,6,4,0,0,0,0,0,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,6,0,3
9,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,46,106,45,19,3,3,0,12,0,0,3,4,1,0,2,0,0,0,0,1,2,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,26,64,20,22,6,2,0,9,1,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,0,2
17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,41,10,3,3,0,0,10,0,1,1,1,3,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,4,0,0,1
21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,13,11,4,0,0,0,9,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,44,12,4,2,0,0,17,1,1,3,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,34,30,12,3,0,0,5,0,1,6,8,8,0,0,0,0,0,0,0,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
33,0,10,0,3,1,0,0,0,0,0,0,0,0,0,3,49,118,54,12,4,0,0,18,0,0,6,4,2,0,0,0,0,0,0,6,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
37,0,1,3,1,0,0,0,0,0,0,0,0,1,2,2,39,88,38,9,2,0,0,4,1,6,8,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
41,0,0,0,2,1,1,0,0,0,0,0,1,0,2,1,17,123,46,7,0,0,0,11,1,2,7,7,1,0,0,0,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,3,2,2,1,0,0,0,0,0,0,0,0,3,4,22,87,40,12,2,0,0,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
49,0,0,0,3,2,0,0,0,0,0,0,0,0,1,1,37,93,45,12,2,0,0,19,1,1,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,100,34,10,2,0,0,17,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
57,0,0,1,4,0,0,0,0,0,1,0,0,0,1,0,47,129,32,14,5,0,0,10,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,43,71,28,13,3,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
65,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,33,103,40,23,6,0,0,26,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
69,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,19,101,47,16,1,0,0,4,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,24,100,70,25,4,1,0,11,0,4,10,8,1,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,27,59,51,14,3,0,0,3,0,1,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
81,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,10,78,36,9,2,0,0,22,0,2,5,5,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
85,0,4,1,2,0,0,0,0,0,1,0,0,0,0,0,16,98,46,12,2,0,0,3,0,5,2,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,0,2,0,3,1,0,0,0,0,0,0,0,0,0,1,6,87,29,4,1,0,0,12,0,5,6,8,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
93,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,23,102,31,2,0,0,0,11,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
97,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,92,222,47,2,0,0,0,46,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,31,102,37,5,0,0,0,25,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,21,101,42,6,0,0,0,19,1,1,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
109,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,23,128,57,11,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,34,127,45,14,0,0,0,16,0,0,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,46,146,26,3,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,109,111,17,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
125,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,39,116,31,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,0,4,0,2,0,0,0,0,0,0,0,0,1,0,0,32,63,19,2,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
133,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,13,93,24,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,74,19,2,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,79,10,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,39,118,48,3,0,0,0,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,47,14,4,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,14,72,16,1,0,0,0,1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,38,79,17,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,0,1,3,4,1,0,0,0,0,1,0,0,0,0,0,18,134,52,4,0,0,0,4,1,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,0,0,1,3,0,0,0,0,0,2,0,0,0,0,0,9,81,16,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,0,0,6,8,0,0,0,0,0,6,0,0,0,0,0,6,92,80,7,0,0,0,19,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,0,3,5,3,0,0,0,0,0,1,0,0,0,0,0,18,101,32,0,0,0,0,11,0,3,2,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
213,0,1,6,5,0,0,0,0,0,2,0,0,0,0,0,30,146,31,5,0,0,0,13,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,0,4,3,2,0,0,0,0,0,1,0,0,0,0,0,64,148,22,3,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,22,82,16,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,59,130,17,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,20,93,25,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,0,4,3,0,0,0,0,0,0,0,0,0,0,1,0,65,136,16,0,0,0,0,12,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,0,5,9,3,0,0,0,0,0,1,0,0,0,0,0,33,123,22,2,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,81,117,20,3,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,37,127,20,3,0,0,0,18,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,0,4,3,0,0,0,0,0,0,0,0,0,0,1,0,46,77,12,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,42,95,14,0,0,0,0,13,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,29,61,8,1,0,0,0,22,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
261,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,46,103,23,1,0,0,0,32,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,57,169,41,5,0,0,0,16,0,1,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,0,9,1,2,0,0,0,0,0,2,0,0,1,0,0,47,177,40,9,0,0,0,6,1,1,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,55,108,43,2,0,0,0,14,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,36,100,48,6,0,0,0,3,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
281,0,6,5,0,0,0,0,0,0,1,0,0,0,0,0,33,169,26,1,0,0,0,7,0,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,0,16,3,0,0,0,0,0,0,0,0,0,0,0,0,52,175,36,0,0,0,0,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,40,103,40,3,0,0,0,5,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
293,0,7,9,1,0,0,0,0,0,1,0,0,0,1,0,80,146,21,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,75,155,17,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,0,0,6,1,0,0,0,0,0,1,0,0,0,0,0,60,131,34,1,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,51,68,20,0,0,0,0,4,3,3,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
309,0,1,3,5,0,0,0,0,0,0,0,0,0,0,0,47,108,37,2,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,0,1,3,3,0,0,0,0,0,2,0,0,0,0,0,29,94,30,6,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,0,3,7,0,0,0,0,0,0,1,0,0,0,1,0,52,104,29,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,3,38,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,0,0,7,1,0,0,0,0,0,1,0,0,0,0,0,72,94,18,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
329,0,3,7,5,0,0,0,0,0,0,0,0,0,0,0,49,103,24,1,0,0,0,9,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,43,104,21,1,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,39,114,8,1,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349,0,1,10,4,0,0,0,0,0,2,0,0,0,0,0,16,47,21,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
353,0,3,22,3,0,0,0,0,0,3,0,0,0,0,0,37,122,39,1,0,0,0,10,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
