sample_no,0 1–5,0 6–10,0 11–15,0 16–20,0 21–25,0 26–30,0 31–35,0 36–40,0 41–45,0 U,1 6–10,1 11–15,2 1–5,2 6–10,2 11–15,3 1–5,3 6–10,3 11–15,3 16–20,3 21–25,3 26–30,3 31–35,3 U,4 1–5,4 6–10,4 11–15,4 16–20,4 21–25,4 26–30,4 31–35,4 36–40,4 U,5 1–5,5 6–10,5 11–15,5 16–20,5 21–25,5 26–30,5 31–35,5 36–40,5 U,6 11–15,6 16–20,6 21–25,6 26–30,6 31–35,6 U,7 21–25,7 26–30,U 1–5,U 6–10,U 11–15,U 16–20,U 21–25,U 26–30,U 31–35,U 36–40,U U
357,0,2,11,3,0,0,0,0,0,0,0,0,0,0,0,31,111,23,2,0,0,0,4,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
361,0,9,12,6,0,0,0,0,0,3,0,0,0,0,0,37,96,38,6,0,0,0,14,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365,0,6,11,5,0,0,0,0,0,4,0,0,0,0,0,24,56,12,1,0,0,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
369,0,5,8,5,0,0,0,0,0,2,0,0,0,0,0,28,78,16,9,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,64,73,18,0,0,0,0,10,1,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
377,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,73,78,12,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
381,0,3,5,1,0,0,0,0,0,2,0,0,0,0,0,33,78,21,1,0,0,0,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
385,0,4,20,0,0,0,0,0,0,0,0,0,0,0,0,61,133,39,0,0,0,0,15,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
389,0,2,8,3,0,0,0,0,0,3,0,0,1,0,0,88,91,16,1,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
393,0,6,9,0,0,0,0,0,0,1,0,0,0,0,1,49,114,17,0,0,0,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
397,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,74,88,17,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
401,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,55,101,11,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
405,0,2,5,2,0,0,0,0,0,2,0,0,0,0,0,63,71,31,3,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
409,0,3,5,1,0,0,0,0,0,0,0,0,0,0,0,35,94,14,0,0,0,0,13,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
413,0,0,7,0,0,0,0,0,0,2,0,0,0,1,0,52,103,19,1,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,52,109,15,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
421,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,51,97,24,2,0,0,0,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
425,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,41,130,10,0,0,0,0,14,3,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
429,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,85,109,13,1,0,0,0,11,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433,0,9,1,0,0,0,0,0,0,2,0,0,0,0,0,19,74,2,0,0,0,0,3,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
437,0,8,8,0,0,0,0,0,0,3,0,0,0,0,0,27,81,15,0,0,0,0,9,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
441,0,2,8,0,0,0,0,0,0,1,0,0,0,0,0,57,122,8,0,0,0,0,8,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,79,103,26,2,0,0,0,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
449,0,5,3,0,0,0,0,0,0,4,0,0,0,0,0,48,138,6,0,0,0,0,18,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453,0,4,15,0,0,0,0,0,0,3,0,0,0,0,0,32,99,32,2,0,0,0,8,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
457,0,5,7,0,0,0,0,0,0,1,0,0,0,0,0,20,68,15,0,0,0,0,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
461,0,3,7,0,0,0,0,0,0,0,0,0,0,1,0,55,99,22,0,0,0,0,9,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
465,0,10,5,0,0,0,0,0,0,5,0,0,0,0,0,45,118,9,0,0,0,0,12,3,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
469,1,8,8,0,0,0,0,0,0,3,0,0,0,1,0,74,102,17,0,0,0,0,19,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
473,0,13,6,0,0,0,0,0,0,2,0,0,0,0,0,79,121,5,0,0,0,0,12,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
477,0,10,6,0,0,0,0,0,0,4,0,0,0,0,0,76,130,5,0,0,0,0,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481,0,2,5,1,0,0,0,0,0,2,0,0,0,0,0,35,102,21,0,0,0,0,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
485,0,5,15,2,0,0,0,0,0,0,0,0,0,0,0,45,100,40,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
489,0,3,7,0,0,0,0,0,0,1,0,0,0,0,0,40,101,10,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
493,0,4,9,0,0,0,0,0,0,2,0,0,1,0,0,71,117,26,3,0,0,0,7,1,4,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
497,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,45,125,5,0,0,0,0,16,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,65,104,23,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505,0,8,11,0,0,0,0,0,0,1,0,0,0,0,0,23,137,10,0,0,0,0,9,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
509,0,3,10,0,0,0,0,0,0,2,0,0,0,0,0,29,114,22,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
513,0,7,6,1,0,0,0,0,0,3,0,0,0,0,0,15,90,14,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
517,0,11,27,0,0,0,0,0,0,4,0,0,0,0,0,34,80,19,0,0,0,0,3,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
521,0,13,5,0,0,0,0,0,0,1,0,0,0,0,0,19,87,3,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
525,0,10,16,1,0,0,0,0,0,2,0,0,0,0,0,43,98,25,0,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
529,0,33,12,0,0,0,0,0,0,1,0,0,0,0,0,49,109,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
533,0,10,8,0,0,0,0,0,0,2,0,0,0,0,0,44,77,10,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
537,0,12,7,0,0,0,0,0,0,0,0,0,0,0,0,60,64,2,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
541,0,15,13,0,0,0,0,0,0,0,0,0,0,0,0,49,110,6,0,0,0,0,6,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
545,0,6,12,0,0,0,0,0,0,2,0,0,0,0,0,37,85,10,0,0,0,0,7,0,1,1,0,0,0,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
549,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,40,101,6,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
553,0,12,10,3,0,0,0,0,0,1,0,0,0,0,0,112,156,8,0,0,0,0,14,4,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
557,0,10,4,0,0,0,0,0,0,1,0,0,0,0,0,86,77,6,0,0,0,0,7,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0
561,0,14,2,0,0,0,0,0,0,0,0,0,1,0,0,94,153,4,1,0,0,0,7,2,3,4,2,3,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
565,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,20,72,3,2,0,0,0,5,2,4,2,1,0,0,0,0,0,0,1,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
573,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,61,84,5,2,0,0,0,2,2,2,1,1,0,1,0,0,0,0,1,0,4,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
577,1,34,0,0,0,0,0,0,0,5,0,0,0,0,0,70,105,2,1,1,0,0,9,2,0,3,0,0,0,0,0,2,0,0,4,8,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
581,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,19,29,6,5,0,0,0,3,3,6,5,4,0,0,0,0,2,0,1,3,7,2,3,3,0,1,0,2,2,1,1,0,1,1,0,1,0,2,2,0,0,0,0
585,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,12,41,13,5,1,0,0,4,0,2,3,7,9,1,0,0,1,0,2,1,5,7,1,3,0,0,1,1,0,1,1,0,0,0,0,1,0,3,0,1,0,0,0
589,0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,11,25,12,1,0,0,0,1,1,0,2,1,0,0,1,0,0,0,0,2,2,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
593,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,33,70,11,1,2,0,0,6,3,2,5,4,1,0,0,0,0,1,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0
597,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,55,52,23,7,3,0,0,12,2,2,3,6,5,1,0,0,1,0,0,0,1,2,4,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,4,0,0,0,0
601,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0,17,107,30,5,2,3,0,15,0,6,5,8,2,1,0,1,0,0,0,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0
605,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,27,82,34,22,20,12,1,5,0,4,0,5,7,7,4,1,2,0,0,0,2,2,13,1,0,1,0,0,0,0,0,0,0,0,1,3,0,1,2,0,2,1,0
609,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,32,126,36,30,20,3,3,24,0,0,0,7,18,9,2,0,2,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,2
613,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,15,120,77,27,2,0,0,32,0,3,4,6,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
617,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,46,224,87,9,1,0,0,43,4,5,10,7,0,0,0,0,2,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
621,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,62,149,44,7,1,0,0,15,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
625,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,190,186,36,7,2,0,0,26,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0
629,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,66,158,35,5,0,0,0,18,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
633,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,87,232,30,4,0,0,0,15,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
635,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,64,133,24,5,0,0,0,5,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
666,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,21,115,50,10,0,0,0,8,0,2,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
669,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,17,108,56,13,5,0,0,11,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
673,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,12,122,67,15,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
677,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10,97,57,9,0,0,0,3,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
681,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,84,25,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
685,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,36,118,47,6,2,0,0,6,1,2,1,5,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
689,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,10,2,0,0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
693,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,66,21,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
697,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,24,84,20,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
701,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,40,22,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
705,0,0,12,1,0,0,0,0,0,2,0,0,0,0,0,24,133,46,3,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
709,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,49,167,22,6,0,0,0,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,181,35,4,0,0,0,6,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
717,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,42,159,29,6,0,0,0,6,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
721,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,28,108,16,2,0,0,0,23,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,23,103,48,2,0,0,0,29,0,6,4,1,0,0,0,0,3,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
