depth,loi,co3
138,9.8468271334792,5.05908096280098
138.25,9.563758389261807,5.248322147650934
138.75,9.49367088607587,4.992405063291129
139,9.222423146473648,4.549728752260498
139.25,8.43881856540085,5.594936708860715
139.75,7.4672048435923175,4.391523713420793
140,5.7012542759405935,17.368301026225808
140.25,5.506391347099407,12.837758112094416
140.75,4.988123515439338,15.505938242280301
141,5.584826132771426,13.900948366701726
141.5,4.781199351701725,13.115072933549603
141.75,5.363984674329517,13.756321839080412
142,5.44827586206889,14.162758620689644
142.25,5,12.395833333333385
142.75,6.777217015140556,9.315068493150756
143,6.454121306376377,11.52721617418352
143.25,7.224334600760372,14.582509505703428
143.75,8.834586466165526,12.526315789473552
144,9.511111111111207,3.7475555555554116
144.25,10.60735671514119,5.23524379811804
144.75,10.020876826722345,4.968684759916512
145,11.162255466052882,5.790563866513362
145.25,11.345381526104386,6.281124497991891
145.75,9.733606557377106,4.4590163934426235
146,8.773678963110587,4.474576271186368
146.25,10.913930789707122,3.1375332741792112
146.75,9.558823529411704,3.5000000000001372
147,10.30092592592578,6.296296296296449
147.25,8.29228243021339,5.247947454844074
147.75,8.068269976726086,4.747866563227301
148,8.94736842105271,5.010526315789489
148.25,8.55457227138641,5.0816125860374015
148.75,9.4323144104804,17.10393013100439
149,9.628770301623964,4.733178654292533
149.25,9.425625920471285,6.20913107511057
149.75,8.615384615384619,5.649230769230795
150,6.9815195071869995,19.54825462012303
150.2,5.9999999999999165,22.007272727272877
150.4,6.143344709897557,22.51194539249142
150.6,7.43550834597894,20.018209408194117
150.8,7.450523864959262,14.407450523864851
151,7.068062827225171,14.596858638743285
151.2,9.350649350649249,10.77402597402597
151.6,9.25925925925934,9.234567901234675
151.8,9.955423476968821,8.689450222882824
152,9.421112372304218,9.107832009080477
152.2,9.999999999999917,7.113846153846295
152.4,10.526315789473715,4.697368421052422
152.6,9.836065573770227,6.440801457195297
152.8,9.544950055493734,4.6792452830189575
153,9.478021978022095,4.483516483516324
153.2,9.756097560975565,5.073170731707284
153.4,9.89399293286206,4.565371024735023
153.6,10.10101010100989,4.906204906204979
153.8,9.318996415770734,6.661887694145806
154,9.780439121756396,4.614770459081937
154.2,10.136986301369772,4.471232876712503
154.4,9.04198062432721,3.806243272335822
154.6,9.004092769440748,3.7107776261936434
154.8,9.263157894736764,3.8652631578948866
155,9.517923362175527,4.202719406674673
155.2,9.601873536299841,4.140515222482399
155.4,10.432569974554582,3.80661577608147
155.6,10.998990918264381,4.528758829465116
155.8,12.268041237113394,5.187628865979253
156,12.82051282051308,7.510848126232396
156.2,13.307240704500925,4.790606653620541
156.4,16.106194690265376,6.017699115044339
156.6,14.974619289340364,6.558375634517809
156.8,12.25961538461541,6.865384615384289
157,11.218568665377154,9.47001934235967
157.2,9.833795013850386,14.6925207756235
157.4,9.776536312849212,15.385474860335119
157.6,11.455108359133089,5.684210526315998
157.8,11.205673758865084,6.558865248227083
158,11.024844720496851,6.335403726707939
158.2,12.19158200290296,4.934687953555597
158.4,11.304347826086877,5.321739130434988
158.6,10.043668122270846,5.740902474526902
158.8,12.024539877300688,6.174233128834483
159,11.170928667563949,10.25033647375489
159.2,10.821643286573208,5.042084168336546
159.4,9.259259259259295,13.312169312169281
159.6,9.673202614379079,6.7555555555556115
159.8,8.779443254817883,15.14346895074962
160,8.936170212766093,16.493617021276428
160.2,9.536784741144452,11.487738419618417
160.4,6.732673267326532,13.196039603960763
160.6,4.793608521970654,12.495339547270468
160.8,3.696498054474732,6.085603112840382
161,4.790419161676725,12.680923866552604
161.2,4.206349206349272,14.679365079364997
161.4,4.844720496894374,14.106832298136638
161.6,3.9747634069401037,9.095268138801256
161.8,4.640813731722739,10.461538461538511
162,4.36137071651088,5.507788161993973
162.2,3.8639876352396207,7.041731066460416
162.4,5.387205387205397,7.5555555555554434
162.6,4.440389294403917,8.603406326033996
162.8,4.044117647058799,6.800000000000134
163,4.88,8.92160000000008
163.2,4.946364719904662,6.321811680572065
163.4,5.2325581395348255,7.313953488372257
163.6,6.360619469026561,5.190265486725594
163.8,5.242718446601962,6.601941747572902
164,5.461393596986805,4.610169491525374
164.4,4.870129870129913,5.519480519480405
164.8,5.0108932461873,4.740740740740749
165,5.344129554655924,4.845344129554705
165.2,5.073995771670256,6.229739252995018
165.4,5.332239540607017,6.582444626743156
165.6,5.366591080876773,6.578987150415728
165.8,5.185825410544555,4.70181503889359
166,4.8722044728434435,5.105431309904216
166.2,5.286738351254576,6.702508960573445
166.4,4.172461752433974,5.958275382475556
166.6,5.3152039555005315,5.043263288010085
166.8,5.0349650349651025,5.230769230769205
167,4.988123515439479,8.39904988123509
167.2,5.207485760781124,5.754271765663092
167.4,4.403522818254585,6.315452361889499
167.6,4.400000000000048,7.253333333333341
167.8,4.615384615384648,5.395951417003995
168,4.892205638474377,5.18739635157538
168.2,4.853041695146937,5.5775803144224625
168.4,5.100574712643654,4.201149425287454
168.6,5.237084217975932,5.197452229299395
168.8,4.718543046357647,7.768211920529895
169,5.773195876288569,7.571134020618589
169.2,4.534606205250487,5.950676213206017
169.3999999999995,5.327573794096463,5.580993520518225
169.59999999999948,5.500000000000064,5.893333333333293
169.79999999999947,5.168986083499142,7.8409542743538525
169.99999999999946,4.954640614096408,10.154919748778726
170.19999999999945,4.703247480403116,7.462486002239565
170.4,4.411764705882335,6.428571428571418
170.60000000000056,5.1587301587301235,7.37566137566129
170.80000000000112,4.216867469879535,9.175903614457985
171.00000000000168,3.3264033264033306,6.785862785862793
171.20000000000223,4.029605263157856,5.703947368421074
171.4000000000028,3.7676609105180545,6.29827315541612
171.60000000000335,4.3149129447388646,5.456472369417012
171.8000000000039,4.662781015820226,5.661948376352917
172.00000000000446,4.400694846554649,5.354950781702489
172.20000000000502,4.97553017944535,5.324632952691689
172.40000000000558,4.568106312292333,6.212624584717573
172.60000000000613,4.59770114942532,6.878160919540299
172.8000000000067,5.796089385474879,4.843575418994433
173.00000000000725,5.157401205626252,3.8258539852645503
173.2000000000078,4.887459807073983,3.6733118971060907
173.40000000000836,4.9859550561798764,4.106741573033633
173.60000000000892,4.331450094162012,5.207784055241677
173.80000000000948,5.552238805970151,3.9785074626865287
174.00000000001003,5.278174037089857,5.141226818830319
174.2000000000106,5.841660261337334,5.43581860107624
174.40000000001115,4.892367906066605,4.657534246575361
174.6000000000117,6.560636182902489,3.650099403578673
174.80000000001226,7.230046948356808,4.724882629108087
175.00000000001282,6.655710764174157,3.1290057518488594
175.20000000001338,5.847457627118716,14.637288135593096
175.40000000001393,6.688241639697888,5.281553398058195
175.6000000000145,6.143943826799317,5.6500877706260715
175.80000000001505,6.644880174291938,4.444444444444354
176.0000000000156,7.156133828996275,4.550185873606118
176.20000000001616,4.72972972972971,2.9099099099099304
176.40000000001672,6.068601583113491,4.126649076517254
176.60000000001727,6.490872210953179,3.862068965517311
176.80000000001783,5.742821473158695,3.225967540574304
177.0000000000184,5.755395683453175,3.913669064748352
177.20000000001895,5.891354246365718,3.7459831675592516
177.4000000000195,6.934594168636797,3.965327029156713
177.60000000002006,6.823925863521445,4.010109519797829
177.80000000002062,5.471698113207531,3.3358490566039003
178.00000000002117,5.89928057553962,3.620143884891991
178.20000000002173,6.374501992031875,3.359362549800858
178.4000000000223,5.736434108527245,3.162790697674532
178.60000000002285,6.219151036525234,3.0878578479762666
178.8000000000234,5.299380591878871,2.995182381280114
179.00000000002396,5.451127819548856,3.1954887218045562
179.20000000002452,5.407166123778513,3.0123778501627707
179.40000000002507,6.014362657091573,12.696588868940866
179.60000000002563,6.886858749121512,10.513000702740648
179.8000000000262,5.144694533762063,19.24115755627012
180.00000000002674,4.863013698630122,14.438356164383512
180.2000000000273,4.753363228699545,15.246636771300444
180.40000000002786,5.8693244739756265,15.362126245847213
180.60000000002842,4.035433070866178,17.669291338582635
180.80000000002897,4.367301231802883,18.27547592385209
181.00000000002953,3.5161744022503996,14.919831223628572
181.2000000000301,4.7738693467334805,15.376884422110844
181.40000000003064,4.496402877697904,15.410071942445974
181.6000000000312,4.780487804878171,16.585365853658534
181.80000000003176,5.190677966101646,14.983050847457783
182.00000000003232,4.520295202951983,19.321033210332097
182.20000000003287,6.31313131313118,15.454545454545435
182.40000000003343,6.536697247706264,15.128440366972685
182.600000000034,5.939524838012939,12.336933045356338
182.80000000003454,5.067873303167503,16.86153846153829
183.0000000000351,5.042016806722666,19.755102040816396
183.20000000003566,5.668016194332071,14.728744939271143
183.40000000003621,6.171107994389978,13.161290322580482
183.60000000003677,6.859205776173178,12.642599277978542
183.80000000003733,4.5780969479353795,13.673249551166972
184.0000000000379,5.613701236917152,15.139866793530086
184.20000000003844,5.00481231953798,13.743984600577539
184.400000000039,5.620155038759673,16.472868217054266
184.60000000003956,5.533596837944589,15.723320158102904
184.80000000004011,5.5013309671694195,14.480922803904281
185.00000000004067,5.940594059405852,13.832583258325789
185.20000000004123,5.017921146953332,17.182795698924743
185.40000000004179,6.031363088057982,13.452352231604165
185.60000000004234,5.673758865248232,15.312056737588733
185.8000000000429,5.581395348837218,12.493023255813782
186.00000000004346,5.45851528384287,15.58951965065508
186.200000000044,5.709342560553549,10.941176470588244
186.40000000004457,5.7420494699646225,10.932862190812855
186.60000000004513,10.204081632652857,22.204081632653114
186.80000000004569,10.339256865912775,21.97092084006455
187.00000000004624,10.887772194305049,22.552763819095475
187.2000000000468,10.445205479452053,24.917808219178355
187.40000000004736,10.131332082551655,26.791744840525467
187.6000000000479,11.140583554376615,19.29973474801082
187.80000000004847,8.645533141210434,27.435158501440654
188.00000000004903,10.954063604240277,17.1401648998821
188.20000000004958,10.659898477157311,18.984771573603958
188.40000000005014,12.364425162689543,16.8156182212583
188.6000000000507,11.111111111111171,21.735159817351686
188.80000000005126,9.694555112881622,21.312084993359953
189.0000000000518,9.814323607427253,28.1379310344825
189.20000000005237,10.489510489510465,21.240093240093284
189.40000000005293,11.177884615384627,19.942307692307704
189.60000000005348,10.875,21.25
189.80000000005404,10.445468509984856,25.486943164362508
190.0000000000546,12.231759656652438,21.0128755364807
190.20000000005516,12.022900763358725,15.832061068702277
190.4000000000557,16.666666666666583,9.06666666666669
190.60000000005627,13.300492610837653,12.505747126436596
190.80000000005683,12.90322580645139,7.458064516129605
191.00000000005738,13.991769547325003,9.7942386831276
191.20000000005794,12.34309623430948,9.958158995815946
191.4000000000585,12.326656394453032,7.124807395993621
191.60000000005905,21.362799263351715,5.7605893186002985
191.8000000000596,11.451398135818955,6.519307589880091
192.00000000006017,9.469153515064423,9.1707317073172
192.20000000006073,7.765151515151579,7.727272727272556
192.40000000006128,8.333333333333352,7.950248756218705
193.00000000006295,5.3853296193130555,9.218198700092678
193.2000000000635,5.442902881536829,9.869797225186955
193.40000000006407,4.941599281222051,9.897574123989147
193.60000000006463,4.855195911413997,9.383304940374721
193.80000000006518,5.012325390304027,8.828266228430449
194.00000000006574,5.802047781569939,8.703071672354874
194.2000000000663,5.947136563876674,8.387665198238016
194.40000000006685,5.5281342546891254,6.712734452122493
194.6000000000674,5.21400778210118,6.032684824902764
194.80000000006797,5.816937553464473,6.631308810949582
195.00000000006852,4.182272159800264,7.046192259675276
195.20000000006908,4.633781763826691,7.420029895366074
195.40000000006964,5.1194539249147155,7.194539249146889
195.6000000000702,7.526881720430141,9.06666666666658
195.80000000007075,5.259781911481763,7.763951250801828
196.0000000000713,5.309033280507143,8.082408874802013
196.20000000007187,5.555555555555499,8.634920634920782
196.40000000007242,5.268595041322331,9.694214876033175
196.60000000007298,5.234795996920681,11.621247113164046
196.80000000007354,5.980392156862742,13.066666666666773
197.0000000000741,6.529625151148764,11.840386940749708
197.20000000007465,5.141388174807242,9.672664952870633
197.4000000000752,5.527210884353698,14.571428571428507
197.60000000007577,2.9454022988506026,8.109195402298871
197.80000000007632,3.7195121951219505,11.195121951219503
198.00000000007688,5.828476269775069,17.778517901748568
198.23,5.019556714471964,21.277705345501968
198.42,5.609756097560898,16.80650406504076
198.60000000007855,4.879938032532828,13.37877614252524
198.8000000000791,4.188181296614956,13.264486517498572
199.00000000007967,5.377207062600332,10.478330658105946
199.20000000008022,6.0150375939849665,12.270676691729182
199.40000000008078,4.817404817404905,8.876456876456833
199.60000000008134,5.3938356164384045,9.664383561643849
199.8000000000819,5.652173913043629,10.199999999999863
200.00000000008245,5.380710659898384,12.150253807106742
200.200000000083,4.96894409937889,11.826086956521696
200.40000000008357,5.234460196292264,9.7884405670665
200.60000000008355,5.50070521861785,9.39915373765857
200.80000000008357,6.174957118353425,9.564322469982931
201.00000000008356,3.4904013961604927,9.256544502617754
201.20000000008358,4.159445407279188,8.95667244367424
201.40000000008357,4.208754208753973,6.868686868687137
201.60000000008355,4.2431192660549355,7.798165137614792
201.80000000008357,3.8997214484679494,8.334261838440202
202.00000000008356,4.999999999999985,6.917241379310466
202.20000000008358,4.737231680236869,6.945965951147209
202.40000000008357,4.403522818254585,5.662129703762973
202.60000000008355,5.6179775280899635,9.626966292134648
202.80000000008357,5.546751188589561,8.836767036449775
203.00000000008356,6.256015399422646,5.628488931664968
203.20000000008358,6.446776611694044,13.049475262368832
203.40000000008357,6.830907054871209,13.706606942889104
203.60000000008355,5.836575875486427,10.054474708171036
203.80000000008357,5.559232296492367,10.980807412309725
204.00000000008356,7.676969092721829,15.322033898305264
204.20000000008358,7.640638119227626,13.70277078085633
204.40000000008357,6.918238993710577,11.54716981132093
204.60000000008355,7.77511961722503,16.430622009569227
204.80000000008357,7.888040712468201,13.265479219677529
205.00000000008356,6.232558139534905,11.133023255813859
205.20000000008358,6.00985221674876,6.163546798029469
205.40000000008357,5.9912854030500835,4.444444444444354
205.60000000008355,5.793742757821432,5.673232908459084
205.80000000008357,6.948640483383589,4.245720040282053
206.00000000008356,5.696969696969559,4.121212121212183
206.20000000008358,7.6558800315706055,4.400947119179206
206.40000000008357,5.611510791366869,3.620143884891995
206.60000000008355,5.303030303030211,3.5488215488216195
206.80000000008357,6.103286384976685,3.511737089201631
207.00000000008356,6.811145510835989,3.7894736842104835
207.20000000008358,6.282051282051221,3.8358974358974813
207.40000000008357,6.741573033707897,3.735330836454171
207.60000000008355,4.876273653566247,11.085880640465811
207.80000000008357,5.443234836702978,8.777604976671874
208.00000000008356,7.062146892655467,15.367231638418092
208.20000000008358,6.660039761431426,16.222664015904463
208.40000000008357,7.026143790849697,16.22222222222211
208.60000000008355,7.097933513027901,16.251572327044116
208.80000000008357,7.099143206854339,13.982864137086871
209.00000000008356,6.325301204819252,16.078313253012062
209.20000000008358,6.30530973451312,16.548672566371863
209.40000000008357,6.5149948293692415,15.751809720785944
209.60000000008355,6.340057636887675,15.024015369836716
209.80000000008357,6.980802792321129,15.427574171029562
210.00000000008356,6.71736375158439,13.789607097591603
210.20000000008358,5.503258508327214,13.88559015206374
210.40000000008357,6.498194945848404,15.056558363417501
210.60000000008355,7.2180451127819625,12.066165413533687
210.80000000008354,7.05218617771507,14.578279266572574
211.00000000008356,4.780876494023742,14.900398406374457
211.20000000008355,4.55172413793121,15.757241379310285
211.40000000008357,5.1502145922746205,16.53791130185997
211.60000000008355,5.263157894736804,15.14170040485823
211.80000000008354,5.065502183406101,14.965938864628765
212.00000000008356,5.905006418485158,12.919127086007675
212.20000000008355,5.431754874651892,10.512534818941397
212.40000000008357,5.976430976430959,16.14141414141416
212.60000000008355,5.572139303482676,13.8029850746269
212.80000000008354,5.542168674698719,14.746987951807206
213.00000000008356,7.120743034055642,12.631578947368546
213.23,6.666666666666648,7.857777777777711
213.40000000008357,6.560846560846493,7.7714285714286095
213.60000000008355,6.961506961506885,8.576576576576572
213.80000000008354,6.698002350176316,8.94947121034065
214.00000000008356,7.1942446043165535,6.726618705036152
214.20000000008355,6.406080347448532,11.665580890336406
214.40000000008357,6.122448979591858,10.63945578231304
214.60000000008355,5.591798695247015,10.393289841565794
